date ,parameter,average value
2018-01-01,PM10,17.58164063
2018-01-01,PM25,10.12454874
2018-01-01,O3,49.68693694
2018-01-01,NO2,17.74137931
2018-01-01,SO2,1.660792952
2018-02-01,PM10,31.12468354
2018-02-01,PM25,21.77624309
2018-02-01,O3,37.84965035
2018-02-01,NO2,23.58908046
2018-02-01,SO2,2.82278481
2018-03-01,PM10,23.63728814
2018-03-01,PM25,13.89378238
2018-03-01,O3,51.39393939
2018-03-01,NO2,14.69791667
2018-03-01,SO2,1.569364162
2018-04-01,PM10,38.57266187
2018-04-01,PM25,24.73101266
2018-04-01,O3,67.10784314
2018-04-01,NO2,17.27238806
2018-04-01,SO2,1.669291339
2018-05-01,PM10,30.25
2018-05-01,PM25,18.9
2018-05-01,O3,51.3974359
2018-05-01,NO2,16.31034483
2018-05-01,SO2,0.970588235
2018-06-01,PM10,25.19807692
2018-06-01,PM25,14.56862745
2018-06-01,O3,46.12
2018-06-01,NO2,12.66666667
2018-06-01,SO2,0.826530612
2018-07-01,PM10,21.15555556
2018-07-01,PM25,8.5
2018-07-01,O3,56.84090909
2018-07-01,NO2,14.8372093
2018-07-01,SO2,1.61627907
2018-08-01,PM10,17.24693878
2018-08-01,PM25,6.9
2018-08-01,O3,44.15625
2018-08-01,NO2,14.33673469
2018-08-01,SO2,0.93877551
2018-09-01,PM10,18.66
2018-09-01,PM25,9.12195122
2018-09-01,O3,38.50813008
2018-09-01,NO2,16.86016949
2018-09-01,SO2,1.37295082
2018-10-01,PM10,21.68493151
2018-10-01,PM25,11.66438356
2018-10-01,O3,35.80833333
2018-10-01,NO2,17.9453125
2018-10-01,SO2,0.7
2018-11-01,PM10,14.26976744
2018-11-01,PM25,6.704545455
2018-11-01,O3,39.79761905
2018-11-01,NO2,13.6744186
2018-11-01,SO2,0.290697674
2018-12-01,PM10,13.55714286
2018-12-01,PM25,6.428571429
2018-12-01,O3,45.35714286
2018-12-01,NO2,9.928571429
2018-12-01,SO2,0.214285714
2019-01-01,PM10,22.85151515
2019-01-01,PM25,12.39393939
2019-01-01,O3,43.75
2019-01-01,NO2,18.546875
2019-01-01,SO2,0.757575758
2019-02-01,PM10,32.95
2019-02-01,PM25,20.83333333
2019-02-01,O3,35.03846154
2019-02-01,NO2,28.30769231
2019-02-01,SO2,1.208333333
2019-03-01,PM10,23.11666667
2019-03-01,PM25,13.44
2019-03-01,O3,58.18181818
2019-03-01,NO2,12.77083333
2019-03-01,SO2,0.395833333
2019-04-01,PM10,30.86101695
2019-04-01,PM25,20.55084746
2019-04-01,O3,58.2254902
2019-04-01,NO2,12.96551724
2019-04-01,SO2,1.939655172
2019-05-01,PM10,31.11052632
2019-05-01,PM25,21.875
2019-05-01,O3,53.84408602
2019-05-01,NO2,14.17977528
2019-05-01,SO2,0.443820225
2019-06-01,PM10,19.340625
2019-06-01,PM25,9.234375
2019-06-01,O3,53.7833
2019-06-01,NO2,10.58064516
2019-06-01,SO2,0.7
2019-07-01,PM10,5.788095238
2019-07-01,PM25,2.285714286
2019-07-01,O3,21.28968254
2019-07-01,NO2,3.492063492
2019-07-01,SO2,0.297619048
2019-08-01,PM10,1.543877551
2019-08-01,PM25,0.693877551
2019-08-01,O3,2.551020408
2019-08-01,NO2,1.336734694
2019-08-01,SO2,0.020408163
2019-09-01,PM10,7.631851852
2019-09-01,PM25,3.618518519
2019-09-01,O3,7.914814815
2019-09-01,NO2,7.603703704
2019-09-01,SO2,0.274074074
2019-10-01,PM10,0.867123288
2019-10-01,PM25,0.64
2019-10-01,O3,2.219178082
2019-10-01,NO2,0.8
2019-10-01,SO2,0.05333333
2019-11-01,PM10,11.66981132
2019-11-01,PM25,7.141509434
2019-11-01,O3,14.9245283
2019-11-01,NO2,9.566037736
2019-11-01,SO2,0.358490566
2019-12-01,PM10,12.0171875
2019-12-01,PM25,7.25
2019-12-01,O3,18.73809524
2019-12-01,NO2,7.8515625
2019-12-01,SO2,0.318965517
2020-01-01,PM10,22.02608696
2020-01-01,PM25,14.45652174
