name,months,year,date,pm25_aqi,pm10_aqi,o3_aqi,no2_aqi,overall_aqi
AARSCHOT,January,2018,2018-01-01,12.0,17.0,90.0,17.0,90.0
AARSCHOT,February,2018,2018-02-01,26.0,29.0,72.0,22.0,72.0
AARSCHOT,March,2018,2018-03-01,17.0,22.0,96.0,14.0,96.0
AARSCHOT,April,2018,2018-04-01,29.0,36.0,126.0,16.0,126.0
AARSCHOT,May,2018,2018-05-01,22.0,28.0,96.0,15.0,96.0
AARSCHOT,June,2018,2018-06-01,17.0,23.0,87.0,12.0,87.0
AARSCHOT,July,2018,2018-07-01,10.0,20.0,107.0,14.0,107.0
AARSCHOT,August,2018,2018-08-01,8.0,16.0,83.0,14.0,83.0
AARSCHOT,September,2018,2018-09-01,11.0,17.0,73.0,16.0,73.0
AARSCHOT,October,2018,2018-10-01,14.0,20.0,68.0,17.0,68.0
AARSCHOT,November,2018,2018-11-01,8.0,13.0,75.0,13.0,75.0
AARSCHOT,December,2018,2018-12-01,8.0,13.0,85.0,9.0,85.0
AARSCHOT,January,2019,2019-01-01,15.0,21.0,82.0,17.0,82.0
AARSCHOT,February,2019,2019-02-01,25.0,31.0,66.0,27.0,66.0
AARSCHOT,March,2019,2019-03-01,16.0,21.0,110.0,12.0,110.0
AARSCHOT,April,2019,2019-04-01,24.0,29.0,110.0,12.0,110.0
AARSCHOT,May,2019,2019-05-01,26.0,29.0,102.0,13.0,102.0
AARSCHOT,June,2019,2019-06-01,11.0,18.0,102.0,10.0,102.0
AARSCHOT,July,2019,2019-07-01,3.0,5.0,40.0,3.0,40.0
AARSCHOT,August,2019,2019-08-01,1.0,1.0,5.0,1.0,5.0
AARSCHOT,September,2019,2019-09-01,4.0,7.0,15.0,7.0,15.0
AARSCHOT,October,2019,2019-10-01,1.0,1.0,4.0,1.0,4.0
AARSCHOT,November,2019,2019-11-01,9.0,11.0,28.0,9.0,28.0
AARSCHOT,December,2019,2019-12-01,9.0,11.0,35.0,7.0,35.0
AARSCHOT,January,2020,2020-01-01,17.0,20.0,92.0,13.0,92.0
AARSCHOT,February,2020,2020-02-01,9.0,15.0,117.0,7.0,117.0
AARSCHOT,March,2020,2020-03-01,15.0,20.0,104.0,12.0,104.0
AARSCHOT,April,2020,2020-04-01,20.0,27.0,119.0,12.0,119.0
AARSCHOT,May,2020,2020-05-01,12.0,16.0,117.0,9.0,117.0
AARSCHOT,June,2020,2020-06-01,9.0,14.0,94.0,9.0,94.0
AARSCHOT,July,2020,2020-07-01,7.0,12.0,81.0,8.0,81.0
AARSCHOT,August,2020,2020-08-01,13.0,19.0,108.0,10.0,108.0
AARSCHOT,September,2020,2020-09-01,11.0,17.0,83.0,14.0,83.0
AARSCHOT,October,2020,2020-10-01,9.0,12.0,84.0,8.0,84.0
AARSCHOT,November,2020,2020-11-01,17.0,19.0,56.0,15.0,56.0
AARSCHOT,December,2020,2020-12-01,16.0,16.0,49.0,17.0,49.0
AARSCHOT,January,2021,2021-01-01,14.0,14.0,71.0,12.0,71.0
AARSCHOT,February,2021,2021-02-01,19.0,27.0,98.0,10.0,98.0
AARSCHOT,March,2021,2021-03-01,22.0,24.0,96.0,13.0,96.0
AARSCHOT,April,2021,2021-04-01,14.0,18.0,105.0,11.0,105.0
AARSCHOT,May,2021,2021-05-01,13.0,16.0,107.0,9.0,107.0
AARSCHOT,June,2021,2021-06-01,18.0,21.0,89.0,9.0,89.0
AARSCHOT,July,2021,2021-07-01,16.0,21.0,92.0,8.0,92.0
AARSCHOT,August,2021,2021-08-01,11.0,16.0,75.0,7.0,75.0
